Timestamp,User ID,Processing Time (ms)
2025-04-05 14:36:32.433582,1,0.342
2025-04-05 14:36:32.458554,2,0.743
2025-04-05 14:36:32.472511,3,0.637
2025-04-05 14:36:32.481133,6,1.884
2025-04-05 14:36:32.494520,4,1.547
2025-04-05 14:36:32.497624,13,1.29
2025-04-05 14:36:32.522572,0,0.71
2025-04-05 14:36:32.531402,11,0.589
2025-04-05 14:36:32.534720,16,20.333
2025-04-05 14:36:32.541488,22,2.234
2025-04-05 14:36:32.554121,5,1.166
2025-04-05 14:36:32.556470,12,1.474
2025-04-05 14:36:32.561146,17,3.378
2025-04-05 14:36:32.566195,9,1.552
2025-04-05 14:36:32.574234,15,0.339
2025-04-05 14:36:32.575323,14,0.292
2025-04-05 14:36:32.577563,10,0.415
2025-04-05 14:36:32.585522,21,0.201
2025-04-05 14:36:32.586383,18,2.553
2025-04-05 14:36:32.586549,39,0.078
2025-04-05 14:36:32.586942,44,0.106
2025-04-05 14:36:32.587038,8,0.504
2025-04-05 14:36:32.589872,7,0.261
2025-04-05 14:36:32.589988,24,4.639
2025-04-05 14:36:32.590166,28,0.576
2025-04-05 14:36:32.590252,33,0.114
2025-04-05 14:36:32.590362,30,0.105
2025-04-05 14:36:32.590445,29,0.214
2025-04-05 14:36:32.595136,27,19.318
2025-04-05 14:36:32.596063,34,10.828
2025-04-05 14:36:32.596727,32,12.297
2025-04-05 14:36:32.601147,40,0.096
2025-04-05 14:36:32.607079,23,0.057
2025-04-05 14:36:32.611730,35,0.066
2025-04-05 14:36:32.617445,43,0.121
2025-04-05 14:36:32.620175,41,0.795
2025-04-05 14:36:32.623367,25,29.017
2025-04-05 14:36:32.628942,19,0.206
2025-04-05 14:36:32.634132,20,2.185
2025-04-05 14:36:32.641626,46,0.068
2025-04-05 14:36:32.648052,31,0.103
2025-04-05 14:36:32.651276,26,0.095
2025-04-05 14:36:32.655744,38,29.461
2025-04-05 14:36:32.657577,49,0.271
2025-04-05 14:36:32.658594,52,0.09
2025-04-05 14:36:32.665329,54,0.077
2025-04-05 14:36:32.670376,42,0.419
2025-04-05 14:36:32.675164,53,0.106
2025-04-05 14:36:32.686893,50,10.707
2025-04-05 14:36:32.691824,51,1.522
2025-04-05 14:36:32.692441,57,0.1
2025-04-05 14:36:32.694545,56,0.11
2025-04-05 14:36:32.696778,108,0.075
2025-04-05 14:36:32.698112,59,0.078
2025-04-05 14:36:32.723672,58,0.115
2025-04-05 14:36:32.732739,70,0.09
2025-04-05 14:36:32.733775,37,0.466
2025-04-05 14:36:32.735567,36,0.085
2025-04-05 14:36:32.740058,47,0.161
2025-04-05 14:36:32.743651,87,7.658
2025-04-05 14:36:32.747322,48,0.526
2025-04-05 14:36:32.754854,61,1.158
2025-04-05 14:36:32.756353,78,0.188
2025-04-05 14:36:32.757603,92,0.507
2025-04-05 14:36:32.757799,100,0.134
2025-04-05 14:36:32.757953,93,0.243
2025-04-05 14:36:32.758257,83,0.178
2025-04-05 14:36:32.759393,76,0.393
2025-04-05 14:36:32.765205,60,0.898
2025-04-05 14:36:32.768830,64,0.361
2025-04-05 14:36:32.774790,97,0.094
2025-04-05 14:36:32.784209,99,0.128
2025-04-05 14:36:32.795773,74,0.095
2025-04-05 14:36:32.801183,86,1.409
2025-04-05 14:36:32.806297,65,0.366
2025-04-05 14:36:32.810990,55,70.659
2025-04-05 14:36:32.823347,67,0.149
2025-04-05 14:36:32.830141,45,0.104
2025-04-05 14:36:32.834852,88,3.335
2025-04-05 14:36:32.841951,66,3.346
2025-04-05 14:36:32.843991,63,13.038
2025-04-05 14:36:32.845573,110,0.084
2025-04-05 14:36:32.852084,91,2.895
2025-04-05 14:36:32.857342,101,2.165
2025-04-05 14:36:32.859200,104,0.542
2025-04-05 14:36:32.861987,75,0.119
2025-04-05 14:36:32.863993,109,0.118
2025-04-05 14:36:32.864332,103,0.259
2025-04-05 14:36:32.864436,71,0.085
2025-04-05 14:36:32.864562,72,0.084
